Source IP,Destination IP,Protocol,Source Port,Destination Port
192.168.206.116,192.168.206.205,UDP,50667,53
192.168.206.116,192.168.206.205,UDP,54347,53
192.168.206.116,192.168.206.205,UDP,64173,53
192.168.206.116,239.255.255.250,UDP,51422,1900
192.168.206.205,192.168.206.116,UDP,53,64173
192.168.206.205,192.168.206.116,UDP,53,54347
192.168.206.205,192.168.206.116,UDP,53,50667
192.168.206.116,192.168.206.205,TCP,50960,53
192.168.206.205,192.168.206.116,TCP,53,50960
192.168.206.116,192.168.206.205,TCP,50960,53
